instanceId;objectId;brandModelId;manufacturer;model;serialNumber;spec;yom;infleetStartDate;infleetEndDate;purpose;status;opco;ownerType;ownerSource;ownerId;objectUri;brandModelUri;modelVersionUri;ownerObjectId;customsDocumentNumber;borderLocationId;importDate;transportHeight;transportLength;transportWidth;engineType;registrationNumber;standardConfigurationId;modelGroupId;modelGroupName;depot;rasterLocation
"5ba4b46ac7fc4100078a7b26";"T12362";;"CAM ATTACHMENTS";"PL25T.115";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b46ac7fc4100078a7b26";;;;;;;;;;;;;;;;
"5ba4b34cc7fc4100078a7320";"T12140";;"CAM ATTACHMENTS";"PN25.110";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b34cc7fc4100078a7320";;;;;;;;;;;;;;;;
"5ba4b34cc7fc4100078a731e";"T12138";;"CAM ATTACHMENTS";"PRC28DT";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b34cc7fc4100078a731e";;;;;;;;;;;;;;;;
"5ba4b3f5aab0e700093815ea";"T15502";;"CAM ATTACHMENTS";"PRC28D";;CE;;;;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b3f5aab0e700093815ea";;;;;;;;;;;;;;;;
"5459010ca57c4848a7b63f6bf5f814b5";"T18696";;"CAM ATTACHMENTS";"PRC18DT";"0549/15/PRC";CE;"2015";"2015-06-01T00:00Z";;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5459010ca57c4848a7b63f6bf5f814b5";;;;;;;;;;;;;;;"BE002";"26Z"
"5cde604a52faff00013ad006";"X11833";"5cc6bed452faff0001aa8287";MANITOU;"WINCH 5T";;CE;;"2019-05-20T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5cde604a52faff00013ad006";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bed452faff0001aa8287";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6beda52faff0001aa8288";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5cd99cdf52faff000177a931";"X11827";"5cc6bed452faff0001aa8287";MANITOU;"WINCH 5T";;CE;;;;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5cd99cdf52faff000177a931";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bed452faff0001aa8287";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6beda52faff0001aa8288";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5cd99cdf52faff0001bea237";"X11826";"5cc6bed452faff0001aa8287";MANITOU;"WINCH 5T";;CE;;"2019-05-13T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5cd99cdf52faff0001bea237";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bed452faff0001aa8287";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6beda52faff0001aa8288";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5ba4b11cc7fc4100078a5c0c";"T10004";"b4e693c6d3ec47d9b4b0375d697dad32";KAUP;"FORK CLAMP WITH SEPARATE SIDESHIFT 2,3T 1,5T411";"172058-001";CE;"2004";"2004-12-01T00:00Z";;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b11cc7fc4100078a5c0c";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/b4e693c6d3ec47d9b4b0375d697dad32";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/3566a5bf704446688027e7c5cedb7d96";;;;;;"1.378 m";"1.13 m";;;;;;"BE002";"12D"
"5d42cfaffd104782b36eb71292a5b62e";"T18433";;"CLIMAX NEWGENERATION";;;CE;;;;EQP_USED;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5d42cfaffd104782b36eb71292a5b62e";;;;;;;;;;;;;;;"BE003";"81WL"
"5ba4b444c7fc4100078a7989";"A10042";"6034c60cd8d58556cd7979df";MANITOU;"NAC 2,25/4M 365KG CAGE 711204";"0804061";CE;"2008";"2016-12-05T00:00Z";;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b444c7fc4100078a7989";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/6034c60cd8d58556cd7979df";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/6034c62fd8d58556cd7979e0";;;;;;;"2.25 m";;;;;;;
"5ba4b2fec7fc4100078a6f3f";"A10033";"5cc6bed452faff0001aa8287";MANITOU;"WINCH 5T";"1105099";CE;"2011";"2011-06-01T00:00Z";;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b2fec7fc4100078a6f3f";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bed452faff0001aa8287";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6beda52faff0001aa8288";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5ba4b3a7aab0e7000938125a";"A10052";"b4e693c6d3ec47d9b4b0375d697dad32";KAUP;"FORK CLAMP WITH SEPARATE SIDESHIFT 2,3T 1,5T411";"343784 001";CE;"2009";"2009-07-01T00:00Z";;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b3a7aab0e7000938125a";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/b4e693c6d3ec47d9b4b0375d697dad32";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/3566a5bf704446688027e7c5cedb7d96";;;;;;"1.378 m";"1.13 m";;;;;;;
"5e1896149006466eb5d70c94";"X12137";"5cc6bec752faff000127338e";MANITOU;"WINCH 3T 921337";;CE;;"2020-01-13T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5e1896149006466eb5d70c94";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bec752faff000127338e";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6bef252faff000127338f";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5e16f1c59006466eb5d70bac";"X12132";"5cc6c0e552faff0001aa8289";MANITOU;"WINCH 4T 921338";;CE;;"2020-01-09T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5e16f1c59006466eb5d70bac";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6c0e552faff0001aa8289";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6c10c52faff0001aa828a";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
